iid,gcd,student_entity_id,total_minutes,content_progress
NEW2LN,GRADE2,9143732,65,0.028
NEW2LN,GRADE2,9152859,0,0
NEW2LN,GRADE2,9102980,139,0.026
NEW2LN,GRADE2,9122106,109,0.026
NEW2LN,GRADE2,9125685,19,0.006
NEW2LN,GRADE2,9148535,3,0
NEW2LN,GRADE2,9077834,16,0
NEW2LN,GRADE2,9079638,26,0.008
OZO2OC,GRADE2,9113866,496,0.06
OZO2OC,GRADE2,9170908,657,0.35
OZO2OC,GRADE2,9139525,0,0
OZO2OC,GRADE2,9148111,1932,0.576
OZO2OC,GRADE2,9084659,3342,0.937
OZO2OC,GRADE2,9150690,2875,0.772
OZO2OC,GRADE2,9075757,2765,1
OZO2OC,GRADE2,9139547,0,0
OZO2OC,GRADE1,9068935,1831,1
OZO2OC,GRADE2,9137901,1775,0.836
OZO2OC,GRADE2,9142371,3558,1
OZO2OC,GRADE2,9087118,3305,1
OZO2OC,GRADE2,9151852,1496,0.742
OZO2OC,GRADE2,9148139,1377,0.671
OZO2OC,GRADE2,9108564,2974,0.566
OZO2OC,GRADE2,9140321,1443,0.351
NEW2LN,GRADE2,9114025,78,0.028
NEW2LN,GRADE2,9152864,269,0.06
NEW2LN,GRADE2,9137410,50,0.026
NEW2LN,GRADE2,9148647,747,0.497
NEW2LN,GRADE2,9152711,0,0
NEW2LN,GRADE2,9112624,21,0
NEW2LN,GRADE2,9110020,161,0.032
NEW2LN,GRADE2,9148834,130,0.028
NEW2LN,GRADE2,9073055,83,0.02
NEW2LN,GRADE2,9137116,38,0.016
NEW2LN,GRADE2,9117648,221,0.082
NEW2LN,GRADE1,10022650,15,0.007
NEW2LN,GRADE2,9092691,0,0
NEW2LN,GRADE2,9121697,135,0.078
NEW2LN,GRADE2,9123648,86,0.028
NEW2LN,GRADE2,9149217,0,0
NEW2LN,GRADE1,10022663,294,0.185
NEW2LN,GRADE1,9077908,0,0
NEW2LN,GRADE2,9121646,24,0.004
NEW2LN,GRADE2,9074863,14,0
NEW2LN,GRADE2,9079649,234,0.187
NEW2LN,GRADE2,9079643,378,0.185
NEW2LN,GRADE2,9128318,87,0.028
NEW2LN,GRADE2,9123709,0,0
NEW2LN,GRADE2,9135598,203,0.092
NEW2LN,GRADE2,9152865,126,0.028
NEW2LN,GRADE2,9075747,29,0.012
HIG2LS,GRADE2,9100446,1896,0.469
NEW2LN,GRADE2,9079651,24,0.008
NEW2LN,GRADE2,9079634,13,0.004
NEW2LN,GRADE2,9148868,128,0.1
NEW2LN,GRADE2,9148631,19,0
NEW2LN,GRADE2,9085551,124,0.026
NEW2LN,GRADE2,9092021,390,0.11
NEW2LN,GRADE2,9079555,31,0.01
NEW2LN,GRADE2,9148492,600,0.235
NEW2LN,GRADE2,9077837,35,0.008
NEW2LN,GRADE2,9121583,144,0.05
NEW2LN,GRADE2,9125693,19,0
NEW2LN,GRADE2,9103394,112,0.02
NEW2LN,GRADE2,9080925,68,0.03
NEW2LN,GRADE2,9081453,24,0.004
NEW2LN,GRADE2,9079648,65,0.02
NEW2LN,GRADE2,9075076,183,0.038
KIN2LR,GRADE2,9117508,2340,0.504
KIN2LR,GRADE2,9135244,3731,1
KIN2LR,GRADE2,9113343,1509,0.282
KIN2LR,GRADE2,9080179,0,0
NEW2LN,GRADE2,9142004,138,0.068
NEW2LN,GRADE2,9079481,156,0.064
NEW2LN,GRADE2,9137716,171,0.028
NEW2LN,GRADE2,9072182,130,0.02
NEW2LN,GRADE2,9071108,211,0.064
SAN2OD,GRADE1,9265627,1878,0.647
SAN2OD,GRADE2,9087618,1342,0.399
OZO2OC,GRADE2,9149260,2887,0.911
OZO2OC,GRADE2,9113518,4557,1
OZO2OC,GRADE2,9150610,3267,0.897
OZO2OC,GRADE2,9141250,582,0.262
OZO2OC,GRADE2,9142305,879,0.495
OZO2OC,GRADE2,9108974,1099,0.582
OZO2OC,GRADE2,9127448,1989,0.54
OZO2OC,GRADE2,9150603,1559,0.665
OZO2OC,GRADE2,9152589,616,0.163
OZO2OC,GRADE2,9149228,1904,0.77
OZO2OC,GRADE2,9985870,773,0.227
OZO2OC,GRADE2,10517523,1009,0.391
OZO2OC,GRADE2,9147994,2067,0.846
OZO2OC,GRADE2,9150818,1737,0.907
OZO2OC,GRADE2,9140807,3238,1
OZO2OC,GRADE1,9150575,1419,0.612
OZO2OC,GRADE2,9143263,2040,1
OZO2OC,GRADE2,9090525,810,0.451
MIL2LT,GRADE2,9135887,862,0.27
SEV2LM,GRADE2,9140785,1004,0.526
SEV2LM,GRADE2,9149831,1959,0.294
HIG2LS,GRADE2,9129103,159,0.04
HIG2LS,GRADE2,9091277,683,0.187
NOR2LM,GRADE2,9147099,1738,0.479
OZO2OC,GRADE2,9143622,1986,0.709
OZO2OC,GRADE2,9142928,2570,0.485
OZO2OC,GRADE2,9079727,2634,0.826
OZO2OC,GRADE2,9080196,2840,1
OZO2OC,GRADE2,9122722,2053,0.691
OZO2OC,GRADE2,9079687,3096,0.929
OZO2OC,GRADE2,9140580,1973,1
OZO2OC,GRADE2,9143344,694,0.344
OZO2OC,GRADE2,9143287,1262,0.407
OZO2OC,GRADE2,9143639,4271,0.909
OZO2OC,GRADE2,9127472,1034,0.409
OZO2OC,GRADE2,9120858,2785,0.905
OZO2OC,GRADE2,9122381,2593,1
OZO2OC,GRADE2,9079681,2637,1
OZO2OC,GRADE2,9109699,1667,0.635
OZO2OC,GRADE2,9079597,3225,1
OZO2OC,GRADE2,10295858,544,0.145
OZO2OC,GRADE2,9120852,1454,0.62
OZO2OC,GRADE2,9142931,1696,0.719
OZO2OC,GRADE2,9090208,1732,0.639
OZO2OC,GRADE2,9090521,1244,0.5
OZO2OC,GRADE2,9123752,2303,0.707
OZO2OC,GRADE2,9076139,821,0.401
OZO2OC,GRADE2,9143210,2114,0.6
OZO2OC,GRADE2,9080817,1805,1
OZO2OC,GRADE2,9152229,839,0.378
MIL2LT,GRADE2,9114552,1475,0.441
ORA2LT,GRADE2,10410158,1186,0.403
PON2LR,GRADE2,9114121,0,0
MCM2LR,GRADE1,9853885,612,0.22
OZO2OC,GRADE2,9151137,2219,1
